Stock,"Market Cap","Current Price","High / Low","Stock P/E","Book Value","Dividend Yield",ROCE,ROE,"Face Value"
SUNFLAG,"3,779",210,249,27.1,262,0.00,11.9,8.80,10.0
RAMKY,"4,534",655,"1,009",14.0,163,0.00,26.5,26.6,10.0
HAL,"2,03,990","3,050","3,132",33.2,375,0.90,30.6,27.2,5.00
IIFL,"23,072",605,704,33.5,142,0.67,11.4,16.8,2.00
INDIACEM,"7,487",242,277,,176,0.00,-4.10,-6.53,10.0
KPRMILL,"26,438",773,928,55.5,92.5,0.54,24.4,21.1,1.00
RITES,"18,795",782,821,40.1,103,2.63,29.1,21.6,10.0
ANANTRAJ,"11,991",352,360,103,86.4,0.14,4.26,3.97,2.00
OIL,"62,576",577,630,8.75,339,3.44,21.8,21.1,10.0
SHARDACROP,"3,277",363,580,19.9,210,1.64,21.9,16.7,10.0
KFINTECH,"12,199",715,731,53.2,58.2,0.00,29.5,25.9,10.0
ARVINDFASN,"6,452",485,534,156,175,0.21,1.06,0.43,4.00
HINDCOPPER,"25,757",266,307,84.9,22.6,0.34,18.0,14.7,5.00
LUXIND,"3,582","1,191","1,721",32.5,500,0.42,13.2,10.6,2.00
TRIVENI,"7,541",344,417,17.9,123,0.93,17.8,22.5,1.00
FEDERALBNK,"36,494",150,167,9.79,102,0.67,5.79,14.9,2.00
SUNDRMFAST,"22,780","1,084","1,341",49.2,147,0.60,20.2,17.0,1.00
UNOMINDA,"37,420",653,727,72.0,61.2,0.23,15.8,14.9,2.00
NRBBEARING,"3,100",320,402,32.9,68.4,1.59,15.9,15.2,2.00
KIRLOSENG,"13,758",949,964,44.5,170,0.53,15.3,11.6,2.00
BBTC,"12,083","1,732","1,840",,22.0,0.07,3.76,93.7,2.00
PAISALO,"7,232",161,169,44.3,27.5,0.03,11.3,8.84,1.00
HGS,"4,222",908,"1,368",,665,1.64,3.17,6.81,10.0
FACT,"50,012",773,909,115,21.8,0.13,30.3,62.5,10.0
TECHNOE,"8,127",755,860,34.0,189,0.80,9.80,11.5,2.00
VEDL,"98,599",265,301,5.32,179,38.3,24.1,32.5,1.00
PIDILITIND,"1,37,876","2,711","2,805",79.4,147,0.40,24.5,18.7,1.00
MAZDOCK,"42,247","2,095","2,492",28.0,237,0.77,38.2,28.6,10.0
ZFCVINDIA,"27,156","14,323","17,700",67.1,"1,365",0.09,18.9,13.9,5.00
TATACHEM,"24,740",971,"1,141",30.8,672,1.80,7.89,6.28,10.0
TMB,"7,703",486,611,7.18,438,1.02,6.41,16.8,10.0
TATAPOWER,"1,21,615",381,413,79.7,44.0,0.53,14.6,22.1,1.00
BANDHANBNK,"32,492",202,272,10.9,122,0.73,6.67,11.9,10.0
